	Activity_ID	Quality	source	CID	SMILES	connectivity	InChIKey	InChI	InChI_AuxInfo	target_id	TID	accession	Protein_Type	AID	doc_id	Year	all_doc_ids	all_years	type_IC50	type_EC50	type_KD	type_Ki	type_other	Activity_class	relation	pchembl_value	pchembl_value_Mean	pchembl_value_StdDev	pchembl_value_SEM	pchembl_value_N	pchembl_value_Median	pchembl_value_MAD
14135	ACWFOKNSHMVIEB_on_Q9Y4K0_WT	High	ChEMBL31	ChEMBL31.compound.430654	Cc1ccc(-c2cc(S(=O)(=O)c3cnc(CN)s3)ccc2)cc1	ACWFOKNSHMVIEB	ACWFOKNSHMVIEB-UHFFFAOYSA-N	InChI=1S/C17H16N2O2S2/c1-12-5-7-13(8-6-12)14-3-2-4-15(9-14)23(20,21)17-11-19-16(10-18)22-17/h2-9,11H,10,18H2,1H3	"""AuxInfo=1/0/N:1,20,21,19,3,23,4,22,7,16,13,2,5,6,8,15,12,17,14,10,11,18,9/E:(5,6)(7,8)(20,21)/CRV:23.6/rA:23CCCCCCCCSOOCCNCCNSCCCCC/rB:s1;d2;s3;d4;s5;d6;s7;s8;d9;d9;s9;d12;s13;d14;s15;s16;s12s15;d8;s19;s6d20;s5;s2d22;/rC:;;;;;;;;;;;;;;;;;;;;;;;"""	Q9Y4K0_WT	ChEMBL:CHEMBL3714029	Q9Y4K0	WT	CHEMBL4421182	PATENT:WO2017141049A1	2017.0	PATENT:WO2017141049A1	2017	1	0	0	0	0		=	  7.160	7.16	0.0	0.0	1.0	7.16	0.0
16446	ADIBEGOVRYXDOX_on_Q9Y4K0_WT	High	ChEMBL31	ChEMBL31.compound.399663	CS(=O)(=O)c1cc(S(=O)(=O)c2ccc(CN)s2)cc(-c2ccccc2)c1	ADIBEGOVRYXDOX	ADIBEGOVRYXDOX-UHFFFAOYSA-N	InChI=1S/C18H17NO4S3/c1-25(20,21)16-9-14(13-5-3-2-4-6-13)10-17(11-16)26(22,23)18-8-7-15(12-19)24-18/h2-11H,12,19H2,1H3	"""AuxInfo=1/0/N:1,23,22,24,21,25,13,12,26,18,6,15,20,19,14,5,7,11,16,3,4,9,10,17,2,8/E:(3,4)(5,6)(20,21)(22,23)/CRV:25.6,26.6/rA:26CSOOCCCSOOCCCCCNSCCCCCCCCC/rB:s1;d2;d2;s2;d5;s6;s7;d8;d8;s8;d11;s12;d13;s14;s15;s11s14;d7;s18;s19;d20;s21;d22;s23;s20d24;s5d19;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q9Y4K0_WT	ChEMBL:CHEMBL3714029;ChEMBL:CHEMBL3714029;ChEMBL:CHEMBL3714029;ChEMBL:CHEMBL3714029;ChEMBL:CHEMBL3714029;ChEMBL:CHEMBL3714029	Q9Y4K0	WT	CHEMBL4421180;CHEMBL4421182;CHEMBL4403233;CHEMBL4305230;CHEMBL4403232;CHEMBL4403231	PATENT:WO2017141049A1	2017.0	PATENT:WO2017141049A1;PATENT:WO2017141049A1;PMID:31430136;PMID:31070916;PMID:31430136;PMID:31430136	2017;2017;2020;2019;2020;2020	1	0	0	0	0		=	  5.420;  6.580;  6.900;  5.820;  6.750;  6.360	6.305	0.524	0.234	6.0	6.47	0.355
26600	AFJUDDQTSKTAGP_on_Q9Y4K0_WT	High	ChEMBL31	ChEMBL31.compound.421974	Cn1cc(-c2cc(S(=O)(=O)c3cnc(CN)s3)cc(S(C)(=O)=O)c2)cn1	AFJUDDQTSKTAGP	AFJUDDQTSKTAGP-UHFFFAOYSA-N	InChI=1S/C15H16N4O4S3/c1-19-9-11(7-18-19)10-3-12(25(2,20)21)5-13(4-10)26(22,23)15-8-17-14(6-16)24-15/h3-5,7-9H,6,16H2,1-2H3	"""AuxInfo=1/0/N:1,21,24,6,18,15,25,12,3,5,4,19,7,14,11,16,13,26,2,22,23,9,10,17,20,8/E:(20,21)(22,23)/CRV:25.6,26.6/rA:26CNCCCCCSOOCCNCCNSCCSCOOCCN/rB:s1;s2;d3;s4;d5;s6;s7;d8;d8;s8;d11;s12;d13;s14;s15;s11s14;d7;s18;s19;s20;d20;d20;s5d19;s4;s2d25;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q9Y4K0_WT	ChEMBL:CHEMBL3714029;ChEMBL:CHEMBL3714029;ChEMBL:CHEMBL3714029	Q9Y4K0	WT	CHEMBL4403233;CHEMBL4403232;CHEMBL4403231	PMID:31430136	2020.0	PMID:31430136	2020	1	0	0	0	0		=	  7.160;  6.960;  6.480	6.867	0.285	0.202	3.0	6.96	0.2
47658	AJZDHLHTTJRNQJ_on_Q9Y4K0_WT	High	ChEMBL31	ChEMBL31.compound.371908	NCc1cc(C(F)(F)F)nc(Oc2cccc(C(=O)NCCn3cnnn3)c2)c1	AJZDHLHTTJRNQJ	AJZDHLHTTJRNQJ-UHFFFAOYSA-N	InChI=1S/C17H16F3N7O2/c18-17(19,20)14-6-11(9-21)7-15(24-14)29-13-3-1-2-12(8-13)16(28)22-4-5-27-10-23-25-26-27/h1-3,6-8,10H,4-5,9,21H2,(H,22,28)	"""AuxInfo=1/1/N:15,16,14,21,22,4,29,28,2,24,3,17,13,5,11,18,6,7,8,9,1,20,25,10,26,27,23,19,12/E:(18,19,20)/rA:29NCCCCCFFFNCOCCCCCCONCCNCNNNCC/rB:s1;s2;d3;s4;s5;s6;s6;s6;d5;s10;s11;s12;d13;s14;d15;s16;s17;d18;s18;s20;s21;s22;s23;d24;s25;s23d26;s13d17;s3d11;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q9Y4K0_WT	ChEMBL:CHEMBL3714029;ChEMBL:CHEMBL3714029;ChEMBL:CHEMBL3714029	Q9Y4K0	WT	CHEMBL4052329;CHEMBL4052332;CHEMBL4052334	PATENT:US20170369443A1	2017.0	PMID:28471663	2017	1	0	0	0	0		=	  7.370;  7.100;  6.550	7.007	0.341	0.241	3.0	7.1	0.27
68067	AOHLPETZFAZNDO_on_Q9Y4K0_WT	High	ChEMBL31	ChEMBL31.compound.436197	COc1ncc(-c2ccc3[nH]c(CN)cc3c2)cc1	AOHLPETZFAZNDO	AOHLPETZFAZNDO-UHFFFAOYSA-N	InChI=1S/C15H15N3O/c1-19-15-5-3-11(9-17-15)10-2-4-14-12(6-10)7-13(8-16)18-14/h2-7,9,18H,8,16H2,1H3	"""AuxInfo=1/0/N:1,8,18,9,19,17,15,13,5,7,6,16,12,10,3,14,4,11,2/rA:19COCNCCCCCCNCCNCCCCC/rB:s1;s2;d3;s4;d5;s6;d7;s8;d9;s10;s11;s12;s13;d12;s10s15;s7d16;s6;s3d18;/rC:;;;;;;;;;;;;;;;;;;;"""	Q9Y4K0_WT	ChEMBL:CHEMBL3714029	Q9Y4K0	WT	CHEMBL4477150	PATENT:WO2018048930A1	2017.0	PATENT:WO2018048930A1	2017	1	0	0	0	0		=	  6.520	6.52	0.0	0.0	1.0	6.52	0.0
87088	ASGSTPZRHAOXCU_on_Q9Y4K0_WT	High	ChEMBL31	ChEMBL31.compound.436187	NCCc1nc(-c2ccncc2)cs1	ASGSTPZRHAOXCU	ASGSTPZRHAOXCU-UHFFFAOYSA-N	InChI=1S/C10H11N3S/c11-4-1-10-13-9(7-14-10)8-2-5-12-6-3-8/h2-3,5-7H,1,4,11H2	"""AuxInfo=1/0/N:3,8,12,2,9,11,13,7,6,4,1,10,5,14/E:(2,3)(5,6)/rA:14NCCCNCCCCNCCCS/rB:s1;s2;s3;d4;s5;s6;d7;s8;d9;s10;s7d11;d6;s4s13;/rC:;;;;;;;;;;;;;;"""	Q9Y4K0_WT	ChEMBL:CHEMBL3714029	Q9Y4K0	WT	CHEMBL4477150	PATENT:WO2018048930A1	2017.0	PATENT:WO2018048930A1	2017	1	0	0	0	0		=	  6.520	6.52	0.0	0.0	1.0	6.52	0.0
88135	ASMYDHMZPLEECI_on_Q9Y4K0_WT	High	ChEMBL31	ChEMBL31.compound.436199	Cn1cc(-c2ccc3[nH]c(CN)cc3c2)cn1	ASMYDHMZPLEECI	ASMYDHMZPLEECI-UHFFFAOYSA-N	InChI=1S/C13H14N4/c1-17-8-11(7-15-17)9-2-3-13-10(4-9)5-12(6-14)16-13/h2-5,7-8,16H,6,14H2,1H3	"""AuxInfo=1/0/N:1,6,7,15,13,11,16,3,5,14,4,10,8,12,17,9,2/rA:17CNCCCCCCNCCNCCCCN/rB:s1;s2;d3;s4;d5;s6;d7;s8;s9;s10;s11;d10;s8s13;s5d14;s4;s2d16;/rC:;;;;;;;;;;;;;;;;;"""	Q9Y4K0_WT	ChEMBL:CHEMBL3714029	Q9Y4K0	WT	CHEMBL4477150	PATENT:WO2018048930A1	2017.0	PATENT:WO2018048930A1	2017	1	0	0	0	0		=	  6.520	6.52	0.0	0.0	1.0	6.52	0.0
99936	AUZDMUSWBKKNHM_on_Q9Y4K0_WT	High	ChEMBL31	ChEMBL31.compound.430608	NCc1ccc(S(=O)(=O)c2ccc(C(=O)NCCO)cc2)s1	AUZDMUSWBKKNHM	AUZDMUSWBKKNHM-UHFFFAOYSA-N	InChI=1S/C14H16N2O4S2/c15-9-11-3-6-13(21-11)22(19,20)12-4-1-10(2-5-12)14(18)16-7-8-17/h1-6,17H,7-9,15H2,(H,16,18)	"""AuxInfo=1/1/N:12,20,4,11,21,5,17,18,2,13,3,10,6,14,1,16,19,15,8,9,22,7/E:(1,2)(4,5)(19,20)/CRV:22.6/rA:22NCCCCCSOOCCCCCONCCOCCS/rB:s1;s2;d3;s4;d5;s6;d7;d7;s7;d10;s11;d12;s13;d14;s14;s16;s17;s18;s13;s10d20;s3s6;/rC:;;;;;;;;;;;;;;;;;;;;;;"""	Q9Y4K0_WT	ChEMBL:CHEMBL3714029	Q9Y4K0	WT	CHEMBL4421180	PATENT:WO2017141049A1	2017.0	PATENT:WO2017141049A1	2017	1	0	0	0	0		=	  5.020	5.02	0.0	0.0	1.0	5.02	0.0
100155	AUZONCFQVSMFAP_on_Q9Y4K0_WT	High	ChEMBL31	ChEMBL31.compound.124062	CCN(CC)C(=S)SSC(=S)N(CC)CC	AUZONCFQVSMFAP	AUZONCFQVSMFAP-UHFFFAOYSA-N	InChI=1S/C10H20N2S4/c1-5-11(6-2)9(13)15-16-10(14)12(7-3)8-4/h5-8H2,1-4H3	"""AuxInfo=1/0/N:1,5,14,16,2,4,13,15,6,10,3,12,7,11,8,9/E:(1,2,3,4)(5,6,7,8)(9,10)(11,12)(13,14)(15,16)/rA:16CCNCCCSSSCSNCCCC/rB:s1;s2;s3;s4;s3;d6;s6;s8;s9;d10;s10;s12;s13;s12;s15;/rC:;;;;;;;;;;;;;;;;"""	Q9Y4K0_WT	ChEMBL:CHEMBL3714029	Q9Y4K0	WT	CHEMBL4235820	PMID:30098867	2018.0	PMID:30098867	2018	1	0	0	0	0		=	  6.820	6.82	0.0	0.0	1.0	6.82	0.0
123011	AZWCNVFCWFDPET_on_Q9Y4K0_WT	High	ChEMBL31	ChEMBL31.compound.430649	CN(C)C(=O)c1cc(S(=O)(=O)c2csc(CN)n2)cc(-c2ccccc2)c1	AZWCNVFCWFDPET	AZWCNVFCWFDPET-UHFFFAOYSA-N	InChI=1S/C19H19N3O3S2/c1-22(2)19(23)15-8-14(13-6-4-3-5-7-13)9-16(10-15)27(24,25)18-12-26-17(11-20)21-18/h3-10,12H,11,20H2,1-2H3	"""AuxInfo=1/0/N:1,3,24,23,25,22,26,27,19,7,16,13,21,20,6,8,15,12,4,17,18,2,5,10,11,14,9/E:(1,2)(4,5)(6,7)(24,25)/CRV:27.6/rA:27CNCCOCCCSOOCCSCCNNCCCCCCCCC/rB:s1;s2;s2;d4;s4;d6;s7;s8;d9;d9;s9;d12;s13;s14;s15;s16;s12d15;d8;s19;s20;d21;s22;d23;s24;s21d25;s6d20;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q9Y4K0_WT	ChEMBL:CHEMBL3714029	Q9Y4K0	WT	CHEMBL4421181	PATENT:WO2017141049A1	2017.0	PATENT:WO2017141049A1	2017	1	0	0	0	0		=	  6.510	6.51	0.0	0.0	1.0	6.51	0.0
130252	BBMWLGAGAZHJLT_on_Q9Y4K0_WT	High	ChEMBL31	ChEMBL31.compound.421999	CS(=O)(=O)c1cc(-c2ccc(C(F)(F)F)cc2)cc(S(=O)(=O)c2cnc(CN)s2)c1	BBMWLGAGAZHJLT	BBMWLGAGAZHJLT-UHFFFAOYSA-N	InChI=1S/C18H15F3N2O4S3/c1-29(24,25)14-6-12(11-2-4-13(5-3-11)18(19,20)21)7-15(8-14)30(26,27)17-10-23-16(9-22)28-17/h2-8,10H,9,22H2,1H3	"""AuxInfo=1/0/N:1,9,17,10,16,6,18,30,27,24,8,7,11,5,19,26,23,12,13,14,15,28,25,3,4,21,22,29,2,20/E:(2,3)(4,5)(19,20,21)(24,25)(26,27)/CRV:29.6,30.6/rA:30CSOOCCCCCCCCFFFCCCCSOOCCNCCNSC/rB:s1;d2;d2;s2;d5;s6;s7;d8;s9;d10;s11;s12;s12;s12;s11;s8d16;d7;s18;s19;d20;d20;s20;d23;s24;d25;s26;s27;s23s26;s5d19;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q9Y4K0_WT	ChEMBL:CHEMBL3714029;ChEMBL:CHEMBL3714029	Q9Y4K0	WT	CHEMBL4403232;CHEMBL4421181	PATENT:WO2017141049A1	2017.0	PMID:31430136;PATENT:WO2017141049A1	2020;2017	1	0	0	0	0		=	  6.760;  6.770	6.765	0.005	0.005	2.0	6.765	0.005
130374	BBNLOKMEQFBBPE_on_Q9Y4K0_WT	High	ChEMBL31	ChEMBL31.compound.430646	Cc1ccc(-c2cc(C(=O)O)cc(S(=O)(=O)c3cnc(CN)s3)c2)cn1	BBNLOKMEQFBBPE	BBNLOKMEQFBBPE-UHFFFAOYSA-N	InChI=1S/C17H15N3O4S2/c1-10-2-3-11(8-19-10)12-4-13(17(21)22)6-14(5-12)26(23,24)16-9-20-15(7-18)25-16/h2-6,8-9H,7,18H2,1H3,(H,21,22)	"""AuxInfo=1/1/N:1,3,4,7,24,12,21,25,18,2,5,6,8,13,20,17,9,22,26,19,10,11,15,16,23,14/E:(21,22)(23,24)/CRV:26.6/rA:26CCCCCCCCCOOCCSOOCCNCCNSCCN/rB:s1;d2;s3;d4;s5;d6;s7;s8;d9;s9;d8;s12;s13;d14;d14;s14;d17;s18;d19;s20;s21;s17s20;s6d13;s5;s2d25;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q9Y4K0_WT	ChEMBL:CHEMBL3714029	Q9Y4K0	WT	CHEMBL4421181	PATENT:WO2017141049A1	2017.0	PATENT:WO2017141049A1	2017	1	0	0	0	0		=	  7.190	7.19	0.0	0.0	1.0	7.19	0.0
161008	BHTWNQZCJFPKSO_on_Q9Y4K0_WT	High	ChEMBL31	ChEMBL31.compound.430655	NCc1ncc([S+]([O-])c2ccccc2)s1	BHTWNQZCJFPKSO	BHTWNQZCJFPKSO-UHFFFAOYSA-N	InChI=1S/C10H10N2OS2/c11-6-9-12-7-10(14-9)15(13)8-4-2-1-3-5-8/h1-5,7H,6,11H2	"""AuxInfo=1/0/N:12,11,13,10,14,2,5,9,3,6,1,4,8,15,7/E:(2,3)(4,5)/rA:15NCCNCCS+O-CCCCCCS/rB:s1;s2;d3;s4;d5;s6;s7;s7;d9;s10;d11;s12;s9d13;s3s6;/rC:;;;;;;;;;;;;;;;"""	Q9Y4K0_WT	ChEMBL:CHEMBL3714029	Q9Y4K0	WT	CHEMBL4421182	PATENT:WO2017141049A1	2017.0	PATENT:WO2017141049A1	2017	1	0	0	0	0		=	  6.000	6.0	0.0	0.0	1.0	6.0	0.0
