	Activity_ID	Quality	source	CID	SMILES	connectivity	InChIKey	InChI	InChI_AuxInfo	target_id	TID	accession	Protein_Type	AID	doc_id	Year	all_doc_ids	all_years	type_IC50	type_EC50	type_KD	type_Ki	type_other	Activity_class	relation	pchembl_value	pchembl_value_Mean	pchembl_value_StdDev	pchembl_value_SEM	pchembl_value_N	pchembl_value_Median	pchembl_value_MAD
26850	AFLCDYWHGOSLJQ_on_O75908_WT	High	ChEMBL31	ChEMBL31.compound.211223	CCC(=O)OC1CCC2(C)C(CC(OC(=O)c3ccc(C#N)cc3)C3(C)Oc4c(c(=O)oc(-c5cnccc5)c4)C(O)C23)C1(C)COC(C)=O	AFLCDYWHGOSLJQ	AFLCDYWHGOSLJQ-UHFFFAOYSA-N	InChI=1S/C38H40N2O10/c1-6-30(42)48-28-13-14-36(3)27(37(28,4)20-46-21(2)41)17-29(49-34(44)23-11-9-22(18-39)10-12-23)38(5)33(36)32(43)31-26(50-38)16-25(47-35(31)45)24-8-7-15-40-19-24/h7-12,15-16,19,27-29,32-33,43H,6,13-14,17,20H2,1-5H3	"""AuxInfo=1/0/N:1,49,10,45,26,2,38,39,19,23,18,24,7,8,37,40,12,21,35,46,48,20,17,34,33,28,11,6,13,3,29,41,43,15,30,9,44,25,22,36,50,4,42,16,31,47,32,5,14,27/E:(9,10)(11,12)/rA:50CCCOOCCCCCCCCOCOCCCCCNCCCCOCCCOOCCCNCCCCCOCCCCOCCO/rB:s1;s2;d3;s3;s5;s6;s7;s8;s9;s9;s11;s12;s13;s14;d15;s15;d17;s18;d19;s20;t21;s20;s17d23;s13;s25;s25;s27;d28;s29;d30;s30;s32;s33;d34;s35;d36;s37;s34d38;s28d33;s29;s41;s9s25s41;s6s11;s44;s44;s46;s47;s48;d48;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	O75908_WT	ChEMBL:CHEMBL4465	O75908	WT	CHEMBL2378564	PMID:23535327	2013.0	PMID:23535327	2013	1	0	0	0	0		=	  8.000	8.0	0.0	0.0	1.0	8.0	0.0
117599	AYQKSEDWAPITKW_on_O75908_WT	Medium	ChEMBL31	ChEMBL31.compound.316646	CC(C)c1cccc(C(C)C)c1NC(=O)CC(=O)C(Cc1ccccc1)Cc1ccc(O)cc1	AYQKSEDWAPITKW	AYQKSEDWAPITKW-UHFFFAOYSA-N	InChI=1S/C30H35NO3/c1-20(2)26-11-8-12-27(21(3)4)30(26)31-29(34)19-28(33)24(17-22-9-6-5-7-10-22)18-23-13-15-25(32)16-14-23/h5-16,20-21,24,32H,17-19H2,1-4H3,(H,31,34)	"""AuxInfo=1/1/N:1,3,10,11,24,23,25,6,22,26,5,7,29,34,30,33,20,27,16,2,9,21,28,19,31,4,8,17,14,12,13,32,18,15/E:(1,2,3,4)(6,7)(9,10)(11,12)(13,14)(15,16)(20,21)(26,27)/rA:34CCCCCCCCCCCCNCOCCOCCCCCCCCCCCCCOCC/rB:s1;s2;s2;d4;s5;d6;s7;s8;s9;s9;s4d8;s12;s13;d14;s14;s16;d17;s17;s19;s20;d21;s22;d23;s24;s21d25;s19;s27;d28;s29;d30;s31;s31;s28d33;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	O75908_WT	ChEMBL:CHEMBL4465	O75908	WT	CHEMBL3887316	PATENT:US9149492B2	2015.0	PATENT:US9149492B2	2015	1	0	0	0	0		=	  5.820	5.82	0.0	0.0	1.0	5.82	0.0
147814	BFCORSRKGHOBIS_on_O75908_WT	High	ChEMBL31	ChEMBL31.compound.67007	CC(C)=CC(C)(C)c1c2oc3c(cc(O)c(O)c3)c(=O)c2c(O)cc1C	BFCORSRKGHOBIS	BFCORSRKGHOBIS-UHFFFAOYSA-N	InChI=1S/C21H22O5/c1-10(2)9-21(4,5)18-11(3)6-15(24)17-19(25)12-7-13(22)14(23)8-16(12)26-20(17)18/h6-9,22-24H,1-5H3	"""AuxInfo=1/0/N:1,3,26,6,7,24,13,18,4,2,25,12,14,16,22,11,21,8,19,9,5,15,17,23,20,10/E:(1,2)(4,5)/rA:26CCCCCCCCCOCCCCOCOCCOCCOCCC/rB:s1;s2;w?2;s4;s5;s5;s5;d8;s9;s10;d11;s12;d13;s14;s14;s16;s11d16;s12;d19;s9s19;d21;s22;s22;s8d24;s25;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;"""	O75908_WT	ChEMBL:CHEMBL4465	O75908	WT	CHEMBL855070	PMID:16919944	2006.0	PMID:16919944	2006	1	0	0	0	0		=	  4.380	4.38	0.0	0.0	1.0	4.38	0.0
228141	BVRYLTBIGIAADD_on_O75908_WT	High	ChEMBL31	ChEMBL31.compound.82828	CC(C)=CCC(OC(=O)C(C)C)C1=CC(=O)c2c(C1=O)c(O)ccc2O	BVRYLTBIGIAADD	BVRYLTBIGIAADD-UHFFFAOYSA-N	InChI=1S/C20H22O6/c1-10(2)5-8-16(26-20(25)11(3)4)12-9-15(23)17-13(21)6-7-14(22)18(17)19(12)24/h5-7,9,11,16,21-22H,8H2,1-4H3	"""AuxInfo=1/0/N:1,3,11,12,4,24,23,5,14,2,10,13,25,21,15,6,17,18,19,8,26,22,16,20,9,7/E:(1,2)(3,4)/rA:26CCCCCCOCOCCCCCCOCCCOCOCCCO/rB:s1;s2;w?2;s4;s5;s6;s7;d8;s8;s10;s10;s6;w?13;s14;d15;s15;d17;s13s18;d19;s18;s21;d21;s23;s17d24;s25;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;"""	O75908_WT	ChEMBL:CHEMBL4465	O75908	WT	CHEMBL885667	PMID:17157006	2007.0	PMID:17157006	2007	1	0	0	0	0		=	  4.240	4.24	0.0	0.0	1.0	4.24	0.0
269011	CENLJZLJQAZGOA_on_O75908_WT	High	ChEMBL31	ChEMBL31.compound.236675	Cc1cc(C(=O)Nc2ccccc2)c2ccc(-c3ccc(OCC(C)(C)C(=O)O)[n+]([O-])c3)cc2n1	CENLJZLJQAZGOA	CENLJZLJQAZGOA-UHFFFAOYSA-N	InChI=1S/C27H25N3O5/c1-17-13-22(25(31)29-20-7-5-4-6-8-20)21-11-9-18(14-23(21)28-17)19-10-12-24(30(34)15-19)35-16-27(2,3)26(32)33/h4-15H,16H2,1-3H3,(H,29,31)(H,32,33)	"""AuxInfo=1/1/N:1,25,26,11,10,12,9,13,16,19,15,20,3,33,32,23,2,17,18,8,14,4,34,21,5,27,24,35,7,30,6,28,29,31,22/E:(2,3)(5,6)(7,8)(32,33)/CRV:30.5/rA:35CCCCCONCCCCCCCCCCCCCCOCCCCCOON+O-CCCN/rB:s1;d2;s3;s4;d5;s5;s7;d8;s9;d10;s11;s8d12;d4;s14;d15;s16;s17;d18;s19;d20;s21;s22;s23;s24;s24;s24;d27;s27;s21;s30;s18d30;d17;s14s33;s2d34;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	O75908_WT	ChEMBL:CHEMBL4465	O75908	WT	CHEMBL3239093	PMID:24618302	2014.0	PMID:24618302	2014	1	0	0	0	0		=	  4.880	4.88	0.0	0.0	1.0	4.88	0.0
291658	CJKKEVCKJUHCKP_on_O75908_WT	Medium	ChEMBL31	ChEMBL31.compound.765322	CCCCCCCCCCNc1cc(-c2ccccc2)nn1-c1ccccc1	CJKKEVCKJUHCKP	CJKKEVCKJUHCKP-UHFFFAOYSA-N	InChI=1S/C25H33N3/c1-2-3-4-5-6-7-8-15-20-26-25-21-24(22-16-11-9-12-17-22)27-28(25)23-18-13-10-14-19-23/h9-14,16-19,21,26H,2-8,15,20H2,1H3	"""AuxInfo=1/0/N:1,2,3,4,5,6,7,8,18,26,17,19,25,27,9,16,20,24,28,10,13,15,23,14,12,11,21,22/E:(11,12)(13,14)(16,17)(18,19)/rA:28CCCCCCCCCCNCCCCCCCCCNNCCCCCC/rB:s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;d12;s13;s14;d15;s16;d17;s18;s15d19;d14;s12s21;s22;d23;s24;d25;s26;s23d27;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	O75908_WT	ChEMBL:CHEMBL4465	O75908	WT	CHEMBL3887316	PATENT:US9149492B2	2015.0	PATENT:US9149492B2	2015	1	0	0	0	0		=	  4.010	4.01	0.0	0.0	1.0	4.01	0.0
306971	CMNSJZBBRGQRNB_on_O75908_WT	High	ChEMBL31	ChEMBL31.compound.206847	CC(=O)OCC1(C)C(OC(C)=O)CCC2(C)C1CC(OC(=O)c1ccccc1C)C1(C)Oc3c(c(=O)oc(-c4cnccc4)c3)C(O)C21	CMNSJZBBRGQRNB	CMNSJZBBRGQRNB-UHFFFAOYSA-N	InChI=1S/C37H41NO10/c1-20-10-7-8-12-24(20)33(42)47-29-17-27-35(4,14-13-28(45-22(3)40)36(27,5)19-44-21(2)39)32-31(41)30-26(48-37(29,32)6)16-25(46-34(30)43)23-11-9-15-38-18-23/h7-12,15-16,18,27-29,31-32,41H,13-14,17,19H2,1-6H3	"""AuxInfo=1/0/N:29,1,11,16,7,31,26,25,43,27,44,24,13,14,42,45,18,40,5,28,2,10,39,23,38,33,17,8,19,34,46,48,21,35,15,6,30,41,3,12,47,22,36,4,9,37,20,32/rA:48CCOOCCCCOCCOCCCCCCCOCOCCCCCCCCCOCCCOOCCCNCCCCCOC/rB:s1;d2;s2;s4;s5;s6;s6;s8;s9;s10;d10;s8;s13;s14;s15;s6s15;s17;s18;s19;s20;d21;s21;d23;s24;d25;s26;s23d27;s28;s19;s30;s30;s32;d33;s34;d35;s35;s37;s38;d39;s40;d41;s42;s39d43;s33d38;s34;s46;s15s30s46;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	O75908_WT	ChEMBL:CHEMBL4465	O75908	WT	CHEMBL2339988	PMID:23369538	2013.0	PMID:23369538	2013	1	0	0	0	0		=	  8.000	8.0	0.0	0.0	1.0	8.0	0.0
323830	CQDVFBMTEZFKKY_on_O75908_WT	High	ChEMBL31	ChEMBL31.compound.445680	CC(=O)OCCC(C=CC=CC#CC#CC=CCO)OC(=O)C=C(C)C	CQDVFBMTEZFKKY	CQDVFBMTEZFKKY-UHFFFAOYSA-N	InChI=1S/C21H24O5/c1-18(2)17-21(24)26-20(14-16-25-19(3)23)13-11-9-7-5-4-6-8-10-12-15-22/h7,9-13,17,20,22H,14-16H2,1-3H3	"""AuxInfo=1/0/N:25,26,1,13,12,14,11,15,10,16,9,17,8,6,18,5,23,24,2,7,21,19,3,22,4,20/E:(1,2)/rA:26CCOOCCCCCCCCCCCCCCOOCOCCCC/rB:s1;d2;s2;s4;s5;s6;s7;w?8;s9;w?10;s11;t12;s13;t14;s15;w?16;s17;s18;s7;s20;d21;s21;w?23;s24;s24;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;"""	O75908_WT	ChEMBL:CHEMBL4465;ChEMBL:CHEMBL4465	O75908	WT	CHEMBL4627929;CHEMBL4627927	PMID:32035699	2020.0	PMID:32035699	2020	1	0	0	0	0		=	  4.940;  4.440	4.69	0.25	0.25	2.0	4.69	0.25
374733	DAMNHPBVADWBQN_on_O75908_WT	High	ChEMBL31	ChEMBL31.compound.439071	CC(=O)OCC(C)(O)C1CC(O)C2(C)Oc3c(c(=O)oc(-c4cnccc4)c3)C(O)C2C1	DAMNHPBVADWBQN	DAMNHPBVADWBQN-UHFFFAOYSA-N	InChI=1S/C23H27NO8/c1-12(25)30-11-22(2,29)14-7-15-20(27)19-17(32-23(15,3)18(26)8-14)9-16(31-21(19)28)13-5-4-6-24-10-13/h4-6,9-10,14-15,18,20,26-27,29H,7-8,11H2,1-3H3	"""AuxInfo=1/0/N:1,7,14,26,27,25,32,10,28,23,5,2,22,9,31,21,16,11,17,29,18,6,13,24,3,12,30,19,8,4,20,15/rA:32CCOOCCCOCCCOCCOCCCOOCCCNCCCCCOCC/rB:s1;d2;s2;s4;s5;s6;s6;s6;s9;s10;s11;s11;s13;s13;s15;d16;s17;d18;s18;s20;s21;d22;s23;d24;s25;s22d26;s16d21;s17;s29;s13s29;s9s31;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	O75908_WT	ChEMBL:CHEMBL4465	O75908	WT	CHEMBL4482751	PATENT:WO2016145994A1	2016.0	PATENT:WO2016145994A1	2016	1	0	0	0	0		=	  7.090	7.09	0.0	0.0	1.0	7.09	0.0
392331	DEJIYPKETDAARD_on_O75908_WT	High	ChEMBL31	ChEMBL31.compound.206860	CC(=O)OCC1(C)C(OC(C)=O)CCC2(C)C1CC(OC(=O)c1ccc(F)cc1)C1(C)Oc3c(c(=O)oc(-c4cnccc4)c3)C(O)C21	DEJIYPKETDAARD	DEJIYPKETDAARD-UHFFFAOYSA-N	InChI=1S/C36H38FNO10/c1-19(39)44-18-35(4)26-16-28(47-32(42)21-8-10-23(37)11-9-21)36(5)31(34(26,3)13-12-27(35)45-20(2)40)30(41)29-25(48-36)15-24(46-33(29)43)22-7-6-14-38-17-22/h6-11,14-15,17,26-28,30-31,41H,12-13,16,18H2,1-5H3	"""AuxInfo=1/0/N:1,11,16,7,31,43,44,24,29,25,28,13,14,42,45,18,40,5,2,10,23,39,26,38,33,17,8,19,34,46,48,21,35,15,6,30,27,41,3,12,47,22,36,4,9,37,20,32/E:(8,9)(10,11)/rA:48CCOOCCCCOCCOCCCCCCCOCOCCCCFCCCCOCCCOOCCCNCCCCCOC/rB:s1;d2;s2;s4;s5;s6;s6;s8;s9;s10;d10;s8;s13;s14;s15;s6s15;s17;s18;s19;s20;d21;s21;d23;s24;d25;s26;s26;s23d28;s19;s30;s30;s32;d33;s34;d35;s35;s37;s38;d39;s40;d41;s42;s39d43;s33d38;s34;s46;s15s30s46;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	O75908_WT	ChEMBL:CHEMBL4465	O75908	WT	CHEMBL2339988	PMID:23369538	2013.0	PMID:23369538	2013	1	0	0	0	0		=	  8.770	8.77	0.0	0.0	1.0	8.77	0.0
