	Activity_ID	Quality	source	CID	SMILES	connectivity	InChIKey	InChI	InChI_AuxInfo	target_id	TID	accession	Protein_Type	AID	doc_id	Year	all_doc_ids	all_years	type_IC50	type_EC50	type_KD	type_Ki	type_other	Activity_class	relation	pchembl_value	pchembl_value_Mean	pchembl_value_StdDev	pchembl_value_SEM	pchembl_value_N	pchembl_value_Median	pchembl_value_MAD
14161	ACWKFPLYGSQYHM_on_P04035_WT	Medium	ChEMBL31	ChEMBL31.compound.725964	COc1cc2c(cc1)nc(C1CC1)c(C=CC1CC(O)CC(=O)O1)c2Sc1ccc(F)cc1	ACWKFPLYGSQYHM	ACWKFPLYGSQYHM-UHFFFAOYSA-N	InChI=1S/C26H24FNO4S/c1-31-18-7-11-23-22(14-18)26(33-20-8-4-16(27)5-9-20)21(25(28-23)15-2-3-15)10-6-19-12-17(29)13-24(30)32-19/h4-11,14-15,17,19,29H,2-3,12-13H2,1H3	"""AuxInfo=1/0/N:1,12,13,29,32,16,8,28,33,15,7,18,21,4,11,30,19,3,17,27,14,5,6,22,10,25,31,9,20,23,2,24,26/E:(2,3)(4,5)(8,9)/rA:33COCCCCCCNCCCCCCCCCCOCCOOCSCCCCFCC/rB:s1;s2;d3;s4;d5;s6;s3d7;s6;d9;s10;s11;s11s12;s10;s14;w?15;s16;s17;s18;s19;s19;s21;d22;s17s22;s5d14;s25;s26;d27;s28;d29;s30;s30;s27d32;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	P04035_WT	ChEMBL:CHEMBL402	P04035	WT	CHEMBL1072709	PMID:19879766	2009.0	PMID:19879766	2009	1	0	0	0	0		=	  4.590	4.59	0.0	0.0	1.0	4.59	0.0
45363	AJLFOPYRIVGYMJ_on_P04035_WT	High	ChEMBL31	ChEMBL31.compound.18952	CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21	AJLFOPYRIVGYMJ	AJLFOPYRIVGYMJ-UHFFFAOYSA-N	InChI=1S/C23H34O5/c1-4-14(2)23(26)28-20-7-5-6-16-9-8-15(3)19(22(16)20)11-10-18-12-17(24)13-21(25)27-18/h6,8-9,14-15,17-20,22,24H,4-5,7,10-13H2,1-3H3	"""AuxInfo=1/0/N:1,4,16,2,10,11,9,14,13,19,18,21,24,3,15,12,22,20,17,8,25,28,5,23,26,6,27,7/rA:28CCCCCOOCCCCCCCCCCCCCCCOCCOOC/rB:s1;s2;s3;s3;d5;s5;s7;s8;s9;s10;w?11;s12;w?13;s14;s15;s15;s17;s18;s19;s20;s21;s22;s22;s24;d25;s20s25;s8s12s17;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	P04035_WT	ChEMBL:CHEMBL402	P04035	WT	CHEMBL4322147	PMID:1433193	1992.0	PMID:31188592	2019	1	0	0	0	0		=	  7.640	7.64	0.0	0.0	1.0	7.64	0.0
49348	AKIAQOSJRITXEV_on_P04035_WT	Medium	ChEMBL31	ChEMBL31.compound.713173	Cc1c[nH]c(CNC(=O)c2c(-c3ccccc3)c(-c3ccc(F)cc3)c(CCC(O)CC(O)CC(=O)O)n2C(C)C)n1	AKIAQOSJRITXEV	AKIAQOSJRITXEV-UHFFFAOYSA-N	InChI=1S/C32H37FN4O5/c1-19(2)37-26(14-13-24(38)15-25(39)16-28(40)41)29(22-9-11-23(33)12-10-22)30(21-7-5-4-6-8-21)31(37)32(42)35-18-27-34-17-20(3)36-27/h4-12,17,19,24-25,38-39H,13-16,18H2,1-3H3,(H,34,36)(H,35,42)(H,40,41)	"""AuxInfo=1/1/N:40,41,1,15,14,16,13,17,20,25,21,24,28,27,31,34,3,6,39,2,12,19,22,29,32,26,5,35,18,11,10,8,23,4,7,42,38,30,33,36,37,9/E:(1,2)(5,6)(7,8)(9,10)(11,12)(40,41)/rA:42CCCNCCNCOCCCCCCCCCCCCCFCCCCCCOCCOCCOONCCCN/rB:s1;d2;s3;s4;s5;s6;s7;d8;s8;d10;s11;d12;s13;d14;s15;s12d16;s11;s18;d19;s20;d21;s22;s22;s19d24;d18;s26;s27;s28;s29;s29;s31;s32;s32;s34;d35;s35;s10s26;s38;s39;s39;s2d5;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	P04035_WT	ChEMBL:CHEMBL402	P04035	WT	CHEMBL922900	PMID:17574412	2007.0	PMID:17574412	2007	1	0	0	0	0		=	  8.470	8.47	0.0	0.0	1.0	8.47	0.0
53502	ALCVPHLELNYTNG_on_P04035_WT	High	ChEMBL31	ChEMBL31.compound.250776	CCC(=O)c1cc(OC)c(OC)cc1O	ALCVPHLELNYTNG	ALCVPHLELNYTNG-UHFFFAOYSA-N	InChI=1S/C11H14O4/c1-4-8(12)7-5-10(14-2)11(15-3)6-9(7)13/h5-6,13H,4H2,1-3H3	"""AuxInfo=1/0/N:1,9,12,2,6,13,5,3,14,7,10,4,15,8,11/rA:15CCCOCCCOCCOCCCO/rB:s1;s2;d3;s3;d5;s6;s7;s8;d7;s10;s11;s10;s5d13;s14;/rC:;;;;;;;;;;;;;;;"""	P04035_WT	ChEMBL:CHEMBL402;ChEMBL:CHEMBL402	P04035	WT	CHEMBL3390813;CHEMBL3390812	PMID:25311563	2014.0	PMID:25311563	2014	1	0	0	0	0		=	  7.610;  5.310	6.46	1.15	1.15	2.0	6.46	1.15
55370	ALLUALRNIBGJAM_on_P04035_WT	High	ChEMBL31	ChEMBL31.compound.37223	CC(C)c1nc(-c2cnccc2)c(-c2ccc(F)cc2)n1C=CC(O)CC(O)CC(=O)O	ALLUALRNIBGJAM	ALLUALRNIBGJAM-UHFFFAOYSA-N	InChI=1S/C24H26FN3O4/c1-15(2)24-27-22(17-4-3-10-26-14-17)23(16-5-7-18(25)8-6-16)28(24)11-9-19(29)12-20(30)13-21(31)32/h3-11,14-15,19-20,29-30H,12-13H2,1-2H3,(H,31,32)	"""AuxInfo=1/1/N:1,3,11,12,15,20,16,19,23,10,22,26,29,8,2,14,7,17,24,27,30,6,13,4,18,9,5,21,25,28,31,32/E:(1,2)(5,6)(7,8)(31,32)/rA:32CCCCNCCCNCCCCCCCCFCCNCCCOCCOCCOO/rB:s1;s2;s2;d4;s5;s6;d7;s8;d9;s10;s7d11;d6;s13;d14;s15;d16;s17;s17;s14d19;s4s13;s21;w?22;s23;s24;s24;s26;s27;s27;s29;d30;s30;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	P04035_WT	ChEMBL:CHEMBL402	P04035	WT	CHEMBL832902	PMID:15686906	2005.0	PMID:15686906	2005	1	0	0	0	0		=	  8.050	8.05	0.0	0.0	1.0	8.05	0.0
64219	ANOPSFFNQJWFSF_on_P04035_WT	Medium	ChEMBL31	ChEMBL31.compound.693823	Cc1cc(-c2ccc(F)cc2)c(C=CC2CC(O)CC(=O)O2)c(C)n1	ANOPSFFNQJWFSF	ANOPSFFNQJWFSF-UHFFFAOYSA-N	InChI=1S/C20H20FNO3/c1-12-9-19(14-3-5-15(21)6-4-14)18(13(2)22-12)8-7-17-10-16(23)11-20(24)25-17/h3-9,16-17,23H,10-11H2,1-2H3	"""AuxInfo=1/0/N:1,24,6,11,7,10,14,13,3,16,19,2,23,5,8,17,15,12,4,20,9,25,18,21,22/E:(3,4)(5,6)/rA:25CCCCCCCCFCCCCCCCCOCCOOCCN/rB:s1;d2;s3;s4;d5;s6;d7;s8;s8;s5d10;d4;s12;w?13;s14;s15;s16;s17;s17;s19;d20;s15s20;s12;s23;s2d23;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;"""	P04035_WT	ChEMBL:CHEMBL402	P04035	WT	CHEMBL692726	PMID:2296036	1990.0	PMID:2296036	1990	1	0	0	0	0		=	  5.700	5.7	0.0	0.0	1.0	5.7	0.0
91871	ATGOOVTXNDYCBK_on_P04035_WT	Medium	ChEMBL31	ChEMBL31.compound.161055	CC(C)c1c(C(=O)NCc2ccccc2)nc(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O	ATGOOVTXNDYCBK	ATGOOVTXNDYCBK-UHFFFAOYSA-N	InChI=1S/C27H32FN3O5/c1-17(2)25-24(27(36)29-16-18-6-4-3-5-7-18)30-26(19-8-10-20(28)11-9-19)31(25)13-12-21(32)14-22(33)15-23(34)35/h3-11,17,21-22,32-33H,12-16H2,1-2H3,(H,29,36)(H,34,35)	"""AuxInfo=1/1/N:1,3,13,12,14,11,15,19,24,20,23,27,26,30,33,9,2,10,18,21,28,31,34,5,4,17,6,22,8,16,25,29,32,35,36,7/E:(1,2)(4,5)(6,7)(8,9)(10,11)(34,35)/rA:36CCCCCCONCCCCCCCNCCCCCFCCNCCCOCCOCCOO/rB:s1;s2;s2;d4;s5;d6;s6;s8;s9;d10;s11;d12;s13;s10d14;s5;d16;s17;d18;s19;d20;s21;s21;s18d23;s4s17;s25;s26;s27;s28;s28;s30;s31;s31;s33;d34;s34;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	P04035_WT	ChEMBL:CHEMBL402	P04035	WT	CHEMBL1018360	PMID:18540668	2008.0	PMID:18540668	2008	0	0	1	0	0		=	  7.870	7.87	0.0	0.0	1.0	7.87	0.0
160464	BHRUDZIMISQPBN_on_P04035_WT	Medium	ChEMBL31	ChEMBL31.compound.711391	CC(C)n1c(CCC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2c1c(=O)n(Cc1ccc(F)cc1)c1c2cccc1	BHRUDZIMISQPBN	BHRUDZIMISQPBN-UHFFFAOYSA-N	InChI=1S/C34H34F2N2O5/c1-20(2)38-29(16-15-25(39)17-26(40)18-30(41)42)31(22-9-13-24(36)14-10-22)32-27-5-3-4-6-28(27)37(34(43)33(32)38)19-21-7-11-23(35)12-8-21/h3-14,20,25-26,39-40H,15-19H2,1-2H3,(H,41,42)	"""AuxInfo=1/1/N:1,3,41,42,40,43,32,37,19,24,33,36,20,23,7,6,10,13,30,2,31,18,34,21,8,11,39,38,5,14,17,25,26,27,35,22,29,4,9,12,15,16,28/E:(1,2)(7,8)(9,10)(11,12)(13,14)(41,42)/rA:43CCCNCCCCOCCOCCOOCCCCCFCCCCCONCCCCCFCCCCCCCC/rB:s1;s2;s2;s4;s5;s6;s7;s8;s8;s10;s11;s11;s13;d14;s14;d5;s17;d18;s19;d20;s21;s21;s18d23;s17;s4d25;s26;d27;s27;s29;s30;d31;s32;d33;s34;s34;s31d36;s29;s25d38;s39;d40;s41;s38d42;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	P04035_WT	ChEMBL:CHEMBL402	P04035	WT	CHEMBL888891	PMID:17574411	2007.0	PMID:17574411	2007	1	0	0	0	0		=	  8.330	8.33	0.0	0.0	1.0	8.33	0.0
167685	BJDYNYRRCXGZGR_on_P04035_WT	Medium	ChEMBL31	ChEMBL31.compound.713185	CC(C)n1c(CCC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)NCc1ccccc1	BJDYNYRRCXGZGR	BJDYNYRRCXGZGR-UHFFFAOYSA-N	InChI=1S/C34H37FN2O5/c1-22(2)37-29(18-17-27(38)19-28(39)20-30(40)41)31(25-13-15-26(35)16-14-25)32(24-11-7-4-8-12-24)33(37)34(42)36-21-23-9-5-3-6-10-23/h3-16,22,27-28,38-39H,17-21H2,1-2H3,(H,36,42)(H,40,41)	"""AuxInfo=1/1/N:1,3,40,29,39,41,28,30,38,42,27,31,19,24,20,23,7,6,10,13,36,2,37,26,18,21,8,11,5,14,17,25,32,33,22,35,4,9,12,15,16,34/E:(1,2)(5,6)(7,8)(9,10)(11,12)(13,14)(15,16)(40,41)/rA:42CCCNCCCCOCCOCCOOCCCCCFCCCCCCCCCCCONCCCCCCC/rB:s1;s2;s2;s4;s5;s6;s7;s8;s8;s10;s11;s11;s13;d14;s14;d5;s17;d18;s19;d20;s21;s21;s18d23;s17;s25;d26;s27;d28;s29;s26d30;s4d25;s32;d33;s33;s35;s36;d37;s38;d39;s40;s37d41;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	P04035_WT	ChEMBL:CHEMBL402	P04035	WT	CHEMBL922900	PMID:17574412	2007.0	PMID:17574412	2007	1	0	0	0	0		=	  9.100	9.1	0.0	0.0	1.0	9.1	0.0
169017	BJKPZWFEYXVKOA_on_P04035_WT	Medium	ChEMBL31	ChEMBL31.compound.711397	CC(C)n1c(CCC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2c1c(=O)n(-c1cccc(F)c1)c1c2cccc1	BJKPZWFEYXVKOA	BJKPZWFEYXVKOA-UHFFFAOYSA-N	InChI=1S/C33H32F2N2O5/c1-19(2)36-28(15-14-24(38)17-25(39)18-29(40)41)30(20-10-12-21(34)13-11-20)31-26-8-3-4-9-27(26)37(33(42)32(31)36)23-7-5-6-22(35)16-23/h3-13,16,19,24-25,38-39H,14-15,17-18H2,1-2H3,(H,40,41)	"""AuxInfo=1/1/N:1,3,40,41,32,33,31,39,42,19,24,20,23,7,6,36,10,13,2,18,21,34,30,8,11,38,37,5,14,17,25,26,27,22,35,4,29,9,12,15,16,28/E:(1,2)(10,11)(12,13)(40,41)/rA:42CCCNCCCCOCCOCCOOCCCCCFCCCCCONCCCCCFCCCCCCC/rB:s1;s2;s2;s4;s5;s6;s7;s8;s8;s10;s11;s11;s13;d14;s14;d5;s17;d18;s19;d20;s21;s21;s18d23;s17;s4d25;s26;d27;s27;s29;d30;s31;d32;s33;s34;s30d34;s29;s25d37;s38;d39;s40;s37d41;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	P04035_WT	ChEMBL:CHEMBL402	P04035	WT	CHEMBL888891	PMID:17574411	2007.0	PMID:17574411	2007	1	0	0	0	0		=	  8.720	8.72	0.0	0.0	1.0	8.72	0.0
