	Activity_ID	Quality	source	CID	SMILES	connectivity	InChIKey	InChI	InChI_AuxInfo	target_id	TID	accession	Protein_Type	AID	doc_id	Year	all_doc_ids	all_years	type_IC50	type_EC50	type_KD	type_Ki	type_other	Activity_class	relation	pchembl_value	pchembl_value_Mean	pchembl_value_StdDev	pchembl_value_SEM	pchembl_value_N	pchembl_value_Median	pchembl_value_MAD
128	AAAQFGUYHFJNHI_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.220526	CCNC(=O)CC1N=C(c2ccc(Cl)cc2)c2c(ccc(OC)c2)-n2c(C)nnc12	AAAQFGUYHFJNHI	AAAQFGUYHFJNHI-UHFFFAOYSA-N	InChI=1S/C22H22ClN5O2/c1-4-24-20(29)12-18-22-27-26-13(2)28(22)19-10-9-16(30-3)11-17(19)21(25-18)14-5-7-15(23)8-6-14/h5-11,18H,4,12H2,1-3H3,(H,24,29)	"""AuxInfo=1/1/N:1,27,23,2,11,16,12,15,20,19,24,6,26,10,13,21,17,7,18,4,9,30,14,3,8,28,29,25,5,22/E:(5,6)(7,8)/rA:30CCNCOCCNCCCCCClCCCCCCCOCCNCCNNC/rB:s1;s2;s3;d4;s4;s6;s7;w?8;s9;d10;s11;d12;s13;s13;s10d15;s9;d17;s18;d19;s20;s21;s22;s17d21;s18;s25;s26;d26;s28;s7s25d29;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL4724838	PMID:33549905	2021.0	PMID:33549905	2021	0	0	1	0	0		=	  4.150;  4.150	4.15	0.0	0.0	2.0	4.15	0.0
3583	AATVNHRFKKDHFE_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.397926	Cc1cc(C=C2C(=O)NC(=S)N(C)C2=O)c(C)n1C	AATVNHRFKKDHFE	AATVNHRFKKDHFE-UHFFFAOYSA-N	InChI=1S/C13H15N3O2S/c1-7-5-9(8(2)15(7)3)6-10-11(17)14-13(19)16(4)12(10)18/h5-6H,1-4H3,(H,14,17,19)	"""AuxInfo=1/1/N:1,17,19,13,3,5,2,16,4,6,7,14,10,9,18,12,8,15,11/rA:19CCCCCCCONCSNCCOCCNC/rB:s1;d2;s3;s4;w?5;s6;d7;s7;s9;d10;s10;s12;s6s12;d14;d4;s16;s2s16;s18;/rC:;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL4269181	PMID:30297119	2018.0	PMID:30297119	2018	1	0	0	0	0		=	  4.850;  4.850	4.85	0.0	0.0	2.0	4.85	0.0
9229	ACAMGSSSBUKFLV_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.443163	O=C(c1c[nH]c2ccccc12)C(NCCc1ccccc1)c1ccccc1	ACAMGSSSBUKFLV	ACAMGSSSBUKFLV-UHFFFAOYSA-N	InChI=1S/C24H22N2O/c27-24(21-17-26-22-14-8-7-13-20(21)22)23(19-11-5-2-6-12-19)25-16-15-18-9-3-1-4-10-18/h1-14,17,23,25-26H,15-16H2	"""AuxInfo=1/0/N:19,25,18,20,24,26,9,8,17,21,23,27,10,7,15,14,4,16,22,11,3,6,12,2,13,5,1/E:(3,4)(5,6)(9,10)(11,12)/rA:27OCCCNCCCCCCCNCCCCCCCCCCCCCC/rB:d1;s2;d3;s4;s5;d6;s7;d8;s9;s3s6d10;s2;s12;s13;s14;s15;d16;s17;d18;s19;s16d20;s12;d22;s23;d24;s25;s22d26;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL4619244	PMID:32551019	2020.0	PMID:32551019	2020	1	0	0	0	0		=	  5.370;  5.370	5.37	0.0	0.0	2.0	5.37	0.0
16042	ADFWQBGTDJIESE_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.101350	CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O	ADFWQBGTDJIESE	ADFWQBGTDJIESE-UHFFFAOYSA-N	InChI=1S/C22H36O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-17-15-18-20(23)21(19)22(24)25/h15,17-18,23H,2-14,16H2,1H3,(H,24,25)	"""AuxInfo=1/1/N:1,2,3,4,5,6,7,8,9,10,11,12,13,14,18,15,17,19,16,20,22,23,21,24,25/E:(24,25)/rA:25CCCCCCCCCCCCCCCCCCCCOCCOO/rB:s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;d16;s17;d18;s19;s20;s16d20;s22;d23;s23;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL3778080;CHEMBL3778080;CHEMBL4325421;CHEMBL4325421	DOI:10.1039/C1MD00199J	2012.0	PMID:26701186;PMID:26701186;PMID:31910017;PMID:31910017	2016;2016;2020;2020	1	0	0	0	0		=	  5.380;  5.380;  5.070;  5.070	5.225	0.155	0.089	4.0	5.225	0.155
19515	AEAIJIUTWWOCDU_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.408433	CC(C)(C)c1ccc(-c2c(-c3ccc(C(C)(C)C)cc3)sc(CNCC3CCNCC3)n2)cc1	AEAIJIUTWWOCDU	AEAIJIUTWWOCDU-UHFFFAOYSA-N	InChI=1S/C30H41N3S/c1-29(2,3)24-11-7-22(8-12-24)27-28(23-9-13-25(14-10-23)30(4,5)6)34-26(33-27)20-32-19-21-15-17-31-18-16-21/h7-14,21,31-32H,15-20H2,1-6H3	"""AuxInfo=1/0/N:1,3,4,16,17,18,7,33,12,20,6,34,13,19,27,31,28,30,25,23,26,8,11,5,14,22,9,10,2,15,29,24,32,21/E:(1,2,3)(4,5,6)(7,8)(9,10)(11,12)(13,14)(15,16)(17,18)/rA:34CCCCCCCCCCCCCCCCCCCCSCCNCCCCNCCNCC/rB:s1;s2;s2;s2;d5;s6;d7;s8;d9;s10;d11;s12;d13;s14;s15;s15;s15;s14;s11d19;s10;s21;s22;s23;s24;s25;s26;s27;s28;s29;s26s30;s9d22;s8;s5d33;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL4346049	PMID:32314924	2020.0	PMID:32314924	2020	1	0	0	0	0		=	  5.070;  5.070	5.07	0.0	0.0	2.0	5.07	0.0
19594	AEANZCXROGPSBY_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.380246	COc1cc2c(cc1-c1c(C)onc1C)[nH]c1c2c(-c2ccnc3ccccc23)nc(C)n1	AEANZCXROGPSBY	AEANZCXROGPSBY-UHFFFAOYSA-N	InChI=1S/C26H21N5O2/c1-13-23(14(2)33-31-13)19-11-21-18(12-22(19)32-4)24-25(28-15(3)29-26(24)30-21)17-9-10-27-20-8-6-5-7-16(17)20/h5-12H,1-4H3,(H,28,29,30)	"""AuxInfo=1/1/N:15,11,32,1,27,26,28,25,21,22,7,4,14,10,31,29,20,5,8,24,6,3,9,18,19,17,23,30,33,16,13,2,12/rA:33COCCCCCCCCCONCCNCCCCCCNCCCCCCNCCN/rB:s1;s2;d3;s4;d5;s6;s3d7;s8;d9;s10;s10;s12;s9d13;s14;s6;s16;s5d17;s18;s19;d20;s21;d22;s23;d24;s25;d26;s27;s20s24d28;d19;s30;s31;s17d31;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL4185447	PMID:28463487	2017.0	PMID:28463487	2017	0	0	1	0	0		=	  6.260;  6.260	6.26	0.0	0.0	2.0	6.26	0.0
37828	AHSHFDSJUPESJL_on_Q09472_WT	Medium	ChEMBL31	ChEMBL31.compound.719979	O=c1ccsn1-c1ccc(N2CCOCC2)cc1	AHSHFDSJUPESJL	AHSHFDSJUPESJL-UHFFFAOYSA-N	InChI=1S/C13H14N2O2S/c16-13-5-10-18-15(13)12-3-1-11(2-4-12)14-6-8-17-9-7-14/h1-5,10H,6-9H2	"""AuxInfo=1/0/N:9,17,8,18,3,12,16,13,15,4,10,7,2,11,6,1,14,5/E:(1,2)(3,4)(6,7)(8,9)/rA:18OCCCSNCCCCNCCOCCCC/rB:d1;s2;d3;s4;s2s5;s6;d7;s8;d9;s10;s11;s12;s13;s14;s11s15;s10;s7d17;/rC:;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL1006964	PMID:19101154	2009.0	PMID:19101154	2009	1	0	0	0	0		=	  5.000;  5.000	5.0	0.0	0.0	2.0	5.0	0.0
60226	AMQOGZWODIWPDY_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.260571	C=CCN1C(=O)C(=Cc2ccc(O)c(OC)c2)C(=O)N(CC=C)C1=O	AMQOGZWODIWPDY	AMQOGZWODIWPDY-UHFFFAOYSA-N	InChI=1S/C18H18N2O5/c1-4-8-19-16(22)13(17(23)20(9-5-2)18(19)24)10-12-6-7-14(21)15(11-12)25-3/h4-7,10-11,21H,1-2,8-9H2,3H3	"""AuxInfo=1/0/N:1,23,16,2,22,10,11,3,21,8,17,9,7,12,14,5,18,24,4,20,13,6,19,25,15/E:(1,2)(4,5)(8,9)(16,17)(19,20)(22,23)/rA:25CCCNCOCCCCCCOCOCCCONCCCCO/rB:d1;s2;s3;s4;d5;s5;w?7;s8;d9;s10;d11;s12;s12;s14;s15;s9d14;s7;d18;s18;s20;s21;d22;s4s20;d24;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL3424792	PMID:25730130	2015.0	PMID:25730130	2015	1	0	0	0	0		=	  4.580;  4.580	4.58	0.0	0.0	2.0	4.58	0.0
71606	AOZHPFGTZLPFKJ_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.403537	CNC(=O)Nc1cc2c(cc1)C1(CC2)NC(=O)N(CC(=O)N2Cc3c(ccc(F)c3)OCC2C(F)(F)F)C1=O	AOZHPFGTZLPFKJ	AOZHPFGTZLPFKJ-UHFFFAOYSA-N	InChI=1S/C25H23F4N5O5/c1-30-22(37)31-16-3-4-17-13(9-16)6-7-24(17)21(36)34(23(38)32-24)11-20(35)33-10-14-8-15(26)2-5-18(14)39-12-19(33)25(27,28)29/h2-5,8-9,19H,6-7,10-12H2,1H3,(H,32,38)(H2,30,31,37)	"""AuxInfo=1/1/N:1,27,11,10,26,14,13,30,7,23,19,32,8,24,28,6,9,25,33,20,38,3,16,12,34,29,35,36,37,2,5,15,22,18,21,39,4,17,31/E:(27,28,29)/rA:39CNCONCCCCCCCCCNCONCCONCCCCCCFCOCCCFFFCO/rB:s1;s2;d3;s3;s5;d6;s7;d8;s9;s6d10;s9;s12;s8s13;s12;s15;d16;s16;s18;s19;d20;s20;s22;s23;d24;s25;d26;s27;s28;s24d28;s25;s31;s22s32;s33;s34;s34;s34;s12s18;d38;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL4325427	PMID:31910017	2020.0	PMID:31910017	2020	1	0	0	0	0		=	  8.120;  8.120	8.12	0.0	0.0	2.0	8.12	0.0
101645	AVHUTHFFLZCQJQ_on_Q09472_WT	High	ChEMBL31	ChEMBL31.compound.408428	CC(C)(C)c1ccc(-c2c(-c3ccc(CN)cc3)sc(CNCC3CCNCC3)c2)cc1	AVHUTHFFLZCQJQ	AVHUTHFFLZCQJQ-UHFFFAOYSA-N	InChI=1S/C28H37N3S/c1-28(2,3)24-10-8-22(9-11-24)26-16-25(19-31-18-21-12-14-30-15-13-21)32-27(26)23-6-4-20(17-29)5-7-23/h4-11,16,21,30-31H,12-15,17-19,29H2,1-3H3	"""AuxInfo=1/0/N:1,3,4,13,17,12,18,7,31,6,32,25,29,26,28,30,15,23,21,14,24,8,11,5,20,9,10,2,16,27,22,19/E:(1,2,3)(4,5)(6,7)(8,9)(10,11)(12,13)(14,15)/rA:32CCCCCCCCCCCCCCCNCCSCCNCCCCNCCCCC/rB:s1;s2;s2;s2;d5;s6;d7;s8;d9;s10;d11;s12;d13;s14;s15;s14;s11d17;s10;s19;s20;s21;s22;s23;s24;s25;s26;s27;s24s28;s9d20;s8;s5d31;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"""	Q09472_WT	ChEMBL:CHEMBL3784;ChEMBL:CHEMBL3784	Q09472	WT	CHEMBL4346049	PMID:32314924	2020.0	PMID:32314924	2020	1	0	0	0	0		=	  5.700;  5.700	5.7	0.0	0.0	2.0	5.7	0.0
